TimePeriod,GeoType,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean ppb
Winter 2015-16,CD,408,6,Hillcrest and Fresh Meadows (CD8),0.2,0.3,0.3
Winter 2015-16,CD,409,6,Kew Gardens and Woodhaven (CD9),0.2,0.3,0.2
Winter 2015-16,CD,410,6,South Ozone Park and Howard Beach (CD10),0.2,0.2,0.2
Winter 2015-16,CD,411,6,Bayside and Little Neck (CD11),0.2,0.3,0.3
Winter 2015-16,CD,412,6,Jamaica and Hollis (CD12),0.2,0.3,0.2
Winter 2015-16,CD,413,6,Queens Village (CD13),0.2,0.3,0.3
Winter 2015-16,CD,414,6,Rockaway and Broad Channel (CD14),0.2,0.2,0.2
Winter 2015-16,CD,501,6,St. George and Stapleton (CD1),0.1,0.1,0.1
Winter 2015-16,CD,502,6,South Beach and Willowbrook (CD2),0.1,0.1,0.1
Winter 2015-16,CD,503,6,Tottenville and Great Kills (CD3),0.1,0.1,0.1
Winter 2015-16,UHF42,101,4,Kingsbridge - Riverdale,0.2,0.4,0.3
Winter 2015-16,UHF42,102,4,Northeast Bronx,0.3,0.3,0.3
Winter 2015-16,UHF42,103,4,Fordham - Bronx Pk,0.3,0.6,0.5
Winter 2015-16,UHF42,104,4,Pelham - Throgs Neck,0.2,0.3,0.3
Winter 2015-16,UHF42,105,4,Crotona -Tremont,0.3,0.6,0.4
Winter 2015-16,UHF42,106,4,High Bridge - Morrisania,0.3,0.5,0.4
Winter 2015-16,UHF42,107,4,Hunts Point - Mott Haven,0.2,0.3,0.2
Winter 2015-16,UHF42,201,4,Greenpoint,0.2,0.2,0.2
Winter 2015-16,UHF42,202,4,Downtown - Heights - Slope,0.2,0.2,0.2
Winter 2015-16,UHF42,203,4,Bedford Stuyvesant - Crown Heights,0.2,0.2,0.2
Winter 2015-16,UHF42,204,4,East New York,0.2,0.2,0.2
Winter 2015-16,UHF42,205,4,Sunset Park,0.1,0.2,0.2
Winter 2015-16,UHF42,206,4,Borough Park,0.2,0.2,0.2
Winter 2015-16,UHF42,207,4,East Flatbush - Flatbush,0.2,0.2,0.2
Winter 2015-16,UHF42,208,4,Canarsie - Flatlands,0.2,0.2,0.2
Winter 2015-16,UHF42,209,4,Bensonhurst - Bay Ridge,0.1,0.2,0.2
Winter 2015-16,UHF42,210,4,Coney Island - Sheepshead Bay,0.2,0.2,0.2
Winter 2015-16,UHF42,211,4,Williamsburg - Bushwick,0.2,0.2,0.2
Winter 2015-16,UHF42,301,4,Washington Heights,0.4,0.6,0.5
Winter 2015-16,UHF42,302,4,Central Harlem - Morningside Heights,0.3,0.4,0.3
Winter 2015-16,UHF42,303,4,East Harlem,0.2,0.4,0.3
Winter 2015-16,UHF42,304,4,Upper West Side,0.3,0.5,0.4
Winter 2015-16,UHF42,305,4,Upper East Side,0.3,0.6,0.4
